table_name,column_name,data_type,is_nullable,column_default,is_primary_key,is_foreign_key
Date,DateID,int,NO,NULL,NO,NO
Date,Date,datetime2,YES,NULL,NO,NO
Date,DateBKey,char,YES,NULL,NO,NO
Date,DayOfMonth,varchar,YES,NULL,NO,NO
Date,DaySuffix,varchar,YES,NULL,NO,NO
Date,DayName,varchar,YES,NULL,NO,NO
Date,DayOfWeek,char,YES,NULL,NO,NO
Date,DayOfWeekInMonth,varchar,YES,NULL,NO,NO
Date,DayOfWeekInYear,varchar,YES,NULL,NO,NO
Date,DayOfQuarter,varchar,YES,NULL,NO,NO
Date,DayOfYear,varchar,YES,NULL,NO,NO
Date,WeekOfMonth,varchar,YES,NULL,NO,NO
Date,WeekOfQuarter,varchar,YES,NULL,NO,NO
Date,WeekOfYear,varchar,YES,NULL,NO,NO
Date,Month,varchar,YES,NULL,NO,NO
Date,MonthName,varchar,YES,NULL,NO,NO
Date,MonthOfQuarter,varchar,YES,NULL,NO,NO
Date,Quarter,char,YES,NULL,NO,NO
Date,QuarterName,varchar,YES,NULL,NO,NO
Date,Year,char,YES,NULL,NO,NO
Date,YearName,char,YES,NULL,NO,NO
Date,MonthYear,char,YES,NULL,NO,NO
Date,MMYYYY,char,YES,NULL,NO,NO
Date,FirstDayOfMonth,date,YES,NULL,NO,NO
Date,LastDayOfMonth,date,YES,NULL,NO,NO
Date,FirstDayOfQuarter,date,YES,NULL,NO,NO
Date,LastDayOfQuarter,date,YES,NULL,NO,NO
Date,FirstDayOfYear,date,YES,NULL,NO,NO
Date,LastDayOfYear,date,YES,NULL,NO,NO
Date,IsHolidayUSA,bit,YES,NULL,NO,NO
Date,IsWeekday,bit,YES,NULL,NO,NO
Date,HolidayUSA,varchar,YES,NULL,NO,NO
Geography,GeographyID,int,NO,NULL,NO,NO
Geography,ZipCodeBKey,varchar,NO,NULL,NO,NO
Geography,County,varchar,YES,NULL,NO,NO
Geography,City,varchar,YES,NULL,NO,NO
Geography,State,varchar,YES,NULL,NO,NO
Geography,Country,varchar,YES,NULL,NO,NO
Geography,ZipCode,varchar,YES,NULL,NO,NO
HackneyLicense,HackneyLicenseID,int,NO,NULL,NO,NO
HackneyLicense,HackneyLicenseBKey,varchar,NO,NULL,NO,NO
HackneyLicense,HackneyLicenseCode,varchar,YES,NULL,NO,NO
Medallion,MedallionID,int,NO,NULL,NO,NO
Medallion,MedallionBKey,varchar,NO,NULL,NO,NO
Medallion,MedallionCode,varchar,YES,NULL,NO,NO
Time,TimeID,int,NO,NULL,NO,NO
Time,TimeBKey,varchar,NO,NULL,NO,NO
Time,HourNumber,int,NO,NULL,NO,NO
Time,MinuteNumber,int,NO,NULL,NO,NO
Time,SecondNumber,int,NO,NULL,NO,NO
Time,TimeInSecond,int,NO,NULL,NO,NO
Time,HourlyBucket,varchar,NO,NULL,NO,NO
Time,DayTimeBucketGroupKey,int,NO,NULL,NO,NO
Time,DayTimeBucket,varchar,NO,NULL,NO,NO
Trip,DateID,int,NO,NULL,NO,NO
Trip,MedallionID,int,NO,NULL,NO,NO
Trip,HackneyLicenseID,int,NO,NULL,NO,NO
Trip,PickupTimeID,int,NO,NULL,NO,NO
Trip,DropoffTimeID,int,NO,NULL,NO,NO
Trip,PickupGeographyID,int,YES,NULL,NO,NO
Trip,DropoffGeographyID,int,YES,NULL,NO,NO
Trip,PickupLatitude,float,YES,NULL,NO,NO
Trip,PickupLongitude,float,YES,NULL,NO,NO
Trip,PickupLatLong,varchar,YES,NULL,NO,NO
Trip,DropoffLatitude,float,YES,NULL,NO,NO
Trip,DropoffLongitude,float,YES,NULL,NO,NO
Trip,DropoffLatLong,varchar,YES,NULL,NO,NO
Trip,PassengerCount,int,YES,NULL,NO,NO
Trip,TripDurationSeconds,int,YES,NULL,NO,NO
Trip,TripDistanceMiles,float,YES,NULL,NO,NO
Trip,PaymentType,varchar,YES,NULL,NO,NO
Trip,FareAmount,decimal,YES,NULL,NO,NO
Trip,SurchargeAmount,decimal,YES,NULL,NO,NO
Trip,TaxAmount,decimal,YES,NULL,NO,NO
Trip,TipAmount,decimal,YES,NULL,NO,NO
Trip,TollsAmount,decimal,YES,NULL,NO,NO
Trip,TotalAmount,decimal,YES,NULL,NO,NO
Weather,DateID,int,NO,NULL,NO,NO
Weather,GeographyID,int,NO,NULL,NO,NO
Weather,PrecipitationInches,float,NO,NULL,NO,NO
Weather,AvgTemperatureFahrenheit,float,NO,NULL,NO,NO
